SK_ID_CURR,TARGET,INCOME_TOTAL,CREDIT,ANNUITY,GOODS_PRICE,INCOME_TYPE,HOUR_APPR,ORGANIZATION_TYPE
100084,0,225000,495351,26140.5,459000,Working,10,Business Entity Type 3
100085,0,157500,755190,28894.5,675000,Working,12,Business Entity Type 1
100086,0,135000,675000,21775.5,675000,Commercial associate,12,Self-employed
100087,0,202500,1288350,37800,1125000,Working,11,Self-employed
100088,0,112500,135000,6750,135000,Commercial associate,15,School
100089,0,135000,337761,15781.5,256500,Working,12,Self-employed
100093,0,94500,585000,28273.5,585000,Working,16,Postal
100094,0,108000,113760,5301,90000,Pensioner,10,XNA
100095,0,67500,135000,6750,135000,Working,8,Trade: type 7
100096,1,81000,252000,14593.5,252000,Pensioner,10,XNA
100097,0,157500,760225.5,30280.5,679500,Working,10,Business Entity Type 3
100098,0,225000,270000,13500,270000,Working,9,Transport: type 3
100099,0,360000,733315.5,41076,679500,Pensioner,12,XNA
100100,0,202500,796396.5,38443.5,643500,Working,17,Industry: type 11
100101,0,202500,343377,22072.5,283500,State servant,13,Business Entity Type 1
100102,0,126000,327024,10264.5,270000,Working,13,Transport: type 4
100103,0,72000,450000,16965,450000,Working,12,School
100104,0,90000,547344,30690,472500,Working,17,Business Entity Type 3
100105,0,193500,225000,23755.5,225000,Working,11,Government
100108,0,171000,545040,31288.5,450000,Working,11,Business Entity Type 3
100110,0,135000,373140,25065,337500,Commercial associate,9,Housing
100111,0,112500,862560,27954,720000,Commercial associate,11,Business Entity Type 3
100112,1,315000,953460,64107,900000,Commercial associate,13,Industry: type 4
100113,0,76500,135000,6696,135000,Working,10,Agriculture
100114,0,135000,284400,22599,225000,Commercial associate,14,Restaurant
100115,0,90000,315000,14683.5,315000,Working,11,Business Entity Type 3
100116,0,243000,900000,32017.5,900000,Working,11,Kindergarten
100118,0,90000,675000,26541,675000,Pensioner,15,XNA
100119,0,54000,180000,9000,180000,Working,16,Medicine
100120,0,135000,781920,28215,675000,Working,15,Government
100121,0,126000,787131,26145,679500,Working,7,Business Entity Type 2
100122,0,76500,808650,26217,675000,Commercial associate,11,Other
100123,0,103500,675000,19737,675000,Working,16,Medicine
100124,0,225000,448272,28647,396000,Pensioner,17,XNA
100125,0,126000,263686.5,26208,238500,Pensioner,11,XNA
100126,0,135000,180000,9000,180000,Working,21,Transport: type 4
100127,0,112500,52128,5341.5,45000,Pensioner,7,XNA
100129,0,85500,135000,6750,135000,Working,8,Business Entity Type 1
100130,1,157500,723996,30802.5,585000,Commercial associate,12,Trade: type 2
100131,0,270000,891072,45625.5,720000,Commercial associate,15,Other
100132,0,202500,1136439,73611,1089000,Commercial associate,14,Business Entity Type 2
100133,0,67500,384048,18810,270000,Working,10,Government
100134,0,202500,180000,9000,180000,Commercial associate,17,Medicine
100135,0,135000,391194,26271,319500,Commercial associate,10,Business Entity Type 3
100136,0,157500,1571931,49356,1435500,State servant,13,Business Entity Type 3
100137,0,225000,891072,45625.5,720000,Pensioner,8,XNA
100138,0,135000,824823,29223,688500,Pensioner,14,XNA
100139,0,157500,302341.5,24016.5,261000,Working,10,Business Entity Type 3
100140,0,157500,675000,33750,675000,Commercial associate,9,Business Entity Type 3
100142,0,360000,579195,27994.5,468000,State servant,11,Transport: type 2
100143,0,162000,270000,13500,270000,State servant,10,Government
100144,0,112500,535500,30028.5,535500,Working,17,Self-employed
100145,0,202500,260725.5,16789.5,198000,Working,11,Self-employed
100146,0,117000,327024,12456,270000,Pensioner,9,XNA
100147,0,135000,518562,22099.5,463500,Working,7,Business Entity Type 3
100148,0,247500,755190,36459,675000,Commercial associate,17,Other
100149,0,171000,539590.5,26374.5,445500,Working,17,Self-employed
100151,0,135000,182016,11772,144000,Commercial associate,10,Business Entity Type 3
100152,0,157500,254412,9720,166500,Working,11,Self-employed
100153,0,202500,1107981,32526,967500,Working,10,Construction
100154,0,144000,180000,9000,180000,Working,11,Self-employed
100155,0,157500,675000,21906,675000,Working,11,Construction
100156,0,157500,945000,39127.5,945000,Commercial associate,14,Medicine
100157,0,180000,1755000,61132.5,1755000,Working,7,Business Entity Type 3
100158,0,180000,590337,27486,477000,Commercial associate,12,Culture
100159,0,225000,1515415.5,41800.5,1354500,Commercial associate,3,Trade: type 7
100160,1,292500,675000,36747,675000,Working,18,Business Entity Type 3
100161,0,90000,370629,13972.5,306000,Commercial associate,9,Self-employed
100162,0,112500,547344,18216,472500,Pensioner,6,XNA
100163,0,130500,550489.5,19773,454500,Working,11,Other
100164,0,450000,407434.5,43362,387000,Commercial associate,17,Self-employed
100165,0,175500,1293502.5,35568,1129500,Pensioner,16,XNA
100166,0,58500,152820,15241.5,135000,Working,8,Government
100167,0,180000,427500,46170,427500,Commercial associate,16,Hotel
100173,0,117000,781920,26725.5,675000,Working,17,Government
100174,0,180000,225000,11250,225000,Working,15,Self-employed
100175,0,202500,1251072,45067.5,1080000,Working,19,Industry: type 7
100176,0,135000,1078200,31653,900000,Working,6,Government
100177,0,112500,312682.5,33309,297000,Working,10,Self-employed
100178,0,119250,679500,28917,679500,Working,13,Self-employed
100179,0,202500,675000,53329.5,675000,Commercial associate,13,Trade: type 7
100180,0,315000,1288350,37800,1125000,Commercial associate,15,Transport: type 4
100181,1,157500,245619,12667.5,166500,Working,9,Business Entity Type 3
100182,0,112500,135000,6750,135000,Working,8,Government
100183,0,103500,239850,23494.5,225000,Pensioner,12,XNA
100185,0,58500,187704,10903.5,148500,Pensioner,7,XNA
100186,0,117000,269550,13095,225000,Pensioner,12,XNA
100188,0,225000,1325475,56290.5,1125000,Working,4,School
100189,0,135000,263844,14440.5,189000,Working,6,Trade: type 7
100190,0,162000,263686.5,24781.5,238500,Commercial associate,16,Government
100191,0,112500,544491,17563.5,454500,Working,18,Business Entity Type 2
100192,1,111915,225000,21037.5,225000,Commercial associate,16,Trade: type 3
100193,0,225000,296280,15124.5,225000,Commercial associate,15,Other
100194,0,157500,315000,15750,315000,Working,11,Industry: type 3
100195,0,90000,336150,9373.5,202500,Commercial associate,12,Trade: type 3
100196,0,164250,755190,32125.5,675000,Working,7,Construction
100197,0,157500,497520,28692,450000,Working,11,Self-employed
100198,0,135000,531000,32616,531000,Working,10,Self-employed
100199,0,112500,269550,18891,225000,Working,15,Industry: type 3
100200,0,216000,450000,27193.5,450000,Working,10,Business Entity Type 3
100201,0,180000,675000,36747,675000,Commercial associate,10,Trade: type 2
100202,0,67500,127350,6597,112500,Pensioner,12,XNA
100203,0,54000,119925,11097,112500,Pensioner,9,XNA
100204,0,81000,532494,30699,454500,Pensioner,9,XNA
100205,0,63000,808650,26217,675000,Working,11,Housing
100206,0,157500,318528,25294.5,252000,Commercial associate,8,Business Entity Type 3
100207,0,157500,700830,22738.5,585000,Working,10,Government
100208,0,180000,888840,29016,675000,Commercial associate,11,Self-employed
100209,1,180000,540000,27000,540000,Commercial associate,18,Construction
100210,0,202500,771493.5,25627.5,666000,Working,12,School
100211,0,225000,746280,49873.5,675000,Commercial associate,14,Other
100213,0,49500,278460,19930.5,225000,Working,10,Industry: type 3
100214,1,202500,436032,28516.5,360000,Commercial associate,14,Business Entity Type 3
100215,0,90000,227520,8172,180000,Pensioner,13,XNA
100216,0,90000,67500,6705,67500,Working,13,Business Entity Type 3
100217,0,180000,254700,25321.5,225000,Working,14,Self-employed
100218,0,337500,876078,49050,765000,Commercial associate,12,Business Entity Type 3
100219,0,315000,2250000,83515.5,2250000,Commercial associate,16,Business Entity Type 3
100220,0,225000,1040985,30568.5,909000,Commercial associate,6,Self-employed
100221,0,225000,684054,77494.5,630000,Commercial associate,9,Bank
100224,0,225000,1256400,36864,900000,Commercial associate,9,Business Entity Type 3
100225,0,157500,720000,28552.5,720000,Commercial associate,10,Self-employed
100226,0,112500,270000,13500,270000,Working,16,Self-employed
100227,0,292500,1024740,55719,900000,Working,14,Self-employed
100228,0,121500,1102500,32364,1102500,State servant,13,Business Entity Type 2
100229,0,157500,544491,16047,454500,Working,17,Medicine
100230,0,135000,405000,20250,405000,Working,11,Self-employed
100231,0,108000,912240,30276,787500,Commercial associate,9,Industry: type 3
100233,0,216000,679671,28926,607500,Working,10,Transport: type 4
100234,0,67500,180000,9000,180000,Working,12,Hotel
100235,0,135000,364896,19926,315000,Working,12,Military
100236,0,112500,312768,20353.5,270000,Working,16,Business Entity Type 2
100237,0,144000,1288350,37800,1125000,Working,11,Trade: type 3
100238,0,135000,781920,50148,675000,Commercial associate,12,Business Entity Type 3
100239,0,225000,1483231.5,51687,1354500,Working,15,Business Entity Type 3
100240,0,135000,590337,28530,477000,Working,8,Housing
100242,0,90000,101880,10827,90000,Working,12,Business Entity Type 3
100243,0,112500,161730,13833,135000,Working,13,Business Entity Type 3
100244,0,247500,447768,35505,405000,Working,14,Industry: type 9
100246,1,135000,495216,26995.5,427500,Working,10,Self-employed
100247,0,225000,402939,19381.5,306000,Working,11,Business Entity Type 1
100248,0,90000,808650,23643,675000,Pensioner,12,XNA
100249,0,67500,76410,4513.5,67500,Working,15,Industry: type 3
100250,0,72000,90000,6529.5,90000,Working,12,Business Entity Type 3
100251,0,202500,270000,14134.5,270000,Working,8,Other
100252,0,225000,490495.5,50391,454500,Working,10,Self-employed
100254,0,292500,1078200,34911,900000,Commercial associate,15,Business Entity Type 3
100255,0,315000,824544,52825.5,720000,Working,15,Business Entity Type 3
100257,0,90000,312768,16119,270000,Pensioner,10,XNA
100258,0,135000,81000,9135,81000,Working,14,Restaurant
100259,0,180000,427500,21955.5,427500,Pensioner,8,XNA
100260,0,180000,180000,20488.5,180000,Working,14,Government
100261,0,90000,522000,22243.5,522000,Commercial associate,11,Postal
100262,0,315000,1575000,41548.5,1575000,Working,10,Postal
100263,0,108000,585000,32665.5,585000,Pensioner,17,XNA
100264,0,121500,1215000,48186,1215000,Pensioner,7,XNA
100265,0,112500,723996,34960.5,585000,Commercial associate,15,Self-employed
100266,0,157500,1256400,36864,900000,Commercial associate,17,Business Entity Type 3
100267,0,225000,675000,17937,675000,Commercial associate,18,Business Entity Type 3
100268,0,85500,225000,18040.5,225000,Working,12,Business Entity Type 3
100269,0,180000,427450.5,23319,369000,Commercial associate,9,Business Entity Type 3
100270,0,90000,337500,16875,337500,Pensioner,16,XNA
100272,0,135000,180000,9000,180000,Working,14,Business Entity Type 2
100273,1,157500,1710000,66262.5,1710000,Working,10,Other
100274,0,308250,1305000,38281.5,1305000,Working,14,Self-employed
100275,0,108000,646920,18670.5,540000,Pensioner,13,XNA
100276,0,135000,497520,39438,450000,Working,11,Services
100277,0,67500,364896,16200,315000,Pensioner,19,XNA
100279,0,180000,254700,16407,225000,Pensioner,16,XNA
100281,0,112500,675000,21906,675000,Commercial associate,15,Self-employed
100282,1,73341,135000,6750,135000,Commercial associate,11,Insurance
100283,0,135000,747000,38268,747000,Commercial associate,10,Self-employed
100284,0,180000,675000,29862,675000,Working,16,Business Entity Type 3
100285,0,112500,180000,9000,180000,Working,13,Self-employed
100286,1,121500,263686.5,17298,238500,Working,5,Business Entity Type 3
100287,0,202500,225000,22383,225000,Pensioner,15,XNA
100288,0,157500,450000,21888,450000,Working,6,Other
100289,0,202500,526491,26878.5,454500,Working,15,Transport: type 4
100290,0,135000,224136,17707.5,198000,Working,17,Business Entity Type 3
100291,0,153000,292500,14355,292500,Working,17,Self-employed
100292,0,202500,675000,29862,675000,Pensioner,11,XNA
100293,0,202500,1271281.5,65956.5,1201500,Working,18,Transport: type 4
100294,0,157500,835380,35392.5,675000,Commercial associate,11,Transport: type 2
100295,1,225000,1019205,31032,774000,Commercial associate,14,Business Entity Type 3
100296,0,225000,223884,24241.5,202500,Commercial associate,13,Business Entity Type 3
100297,0,135000,334152,17059.5,270000,Working,18,Self-employed
100298,0,270000,473760,48676.5,450000,Working,10,Self-employed
100299,0,112500,540000,27000,540000,State servant,12,Medicine
100300,1,63000,426645,22468.5,324000,Commercial associate,10,Trade: type 3
100301,1,112500,571486.5,31131,454500,Working,11,Business Entity Type 3
100302,0,180000,187704,9256.5,148500,Working,11,Bank
100303,0,292500,254700,15709.5,225000,Pensioner,10,XNA
100304,0,225000,675000,33750,675000,Working,13,Business Entity Type 3
100305,0,135000,237024,15970.5,180000,Working,6,Business Entity Type 3
100307,0,225000,451804.5,35824.5,369000,State servant,11,Military
100308,0,157500,208512,21892.5,180000,Working,10,Business Entity Type 3
100309,0,157500,263686.5,15268.5,238500,State servant,9,Postal
100310,0,180000,1071000,31315.5,1071000,Working,13,Business Entity Type 3
100313,0,87750,1206954,35419.5,945000,Pensioner,10,XNA
100314,0,292500,239850,25960.5,225000,Working,12,Self-employed
100315,0,121500,288873,21064.5,238500,Working,10,Business Entity Type 2
100316,0,67500,622413,26500.5,495000,Working,15,Medicine
100317,0,180000,630000,30438,630000,Working,12,School
100318,0,90000,381528,12109.5,315000,Working,12,Trade: type 7
100319,0,135000,781920,32868,675000,Commercial associate,8,Business Entity Type 3
100320,0,225000,481855.5,49374,463500,Working,11,Construction
100321,0,270000,521280,31500,450000,Commercial associate,9,Business Entity Type 3
100322,0,225000,254700,26874,225000,Working,13,Business Entity Type 3
100323,0,450000,1575000,55800,1575000,Commercial associate,11,Business Entity Type 3
100324,0,112500,152820,18265.5,135000,Commercial associate,17,Self-employed
100325,0,135000,640080,31261.5,450000,State servant,9,Construction
100326,1,36000,284400,10849.5,225000,Pensioner,7,XNA
100327,0,180000,407727,32341.5,333000,Working,11,Business Entity Type 3
100328,0,171000,1270746,42124.5,1138500,State servant,10,Medicine
100329,0,135000,247275,17716.5,225000,Working,8,Business Entity Type 3
100332,0,157500,545040,20677.5,450000,Pensioner,13,XNA
100333,0,382500,450000,30204,450000,Commercial associate,18,Bank
100334,0,90000,101880,10939.5,90000,Working,12,Other
100335,0,63000,675000,19737,675000,Pensioner,8,XNA
100336,1,157500,497520,28692,450000,Commercial associate,15,Industry: type 3
100337,0,270000,545040,26640,450000,Commercial associate,15,Business Entity Type 3
100338,0,270000,630000,23274,630000,Working,16,Trade: type 6
100339,0,166500,495000,24750,495000,Commercial associate,17,Business Entity Type 3
100340,0,202500,787131,44082,679500,Commercial associate,12,Transport: type 4
100341,0,76500,545040,20677.5,450000,Working,10,Industry: type 2
100342,0,90000,101880,10827,90000,Working,15,Business Entity Type 3
100343,0,315000,90000,4504.5,90000,Working,11,Business Entity Type 3
100344,0,112500,225000,14647.5,225000,Commercial associate,14,Business Entity Type 3
100345,0,157500,450000,17095.5,450000,Working,13,Self-employed
100346,0,180000,582804,25803,463500,State servant,9,School
100347,0,81000,640080,23121,450000,Pensioner,7,XNA
100348,0,135000,1223010,47983.5,1125000,Working,15,Business Entity Type 3
100349,0,108000,364896,23449.5,315000,Pensioner,14,XNA
100350,0,112500,481495.5,31833,454500,Pensioner,12,XNA
100351,0,69750,675000,20596.5,675000,Pensioner,12,XNA
100353,0,81000,536917.5,19282.5,463500,Working,8,Self-employed
100354,0,112500,135000,6750,135000,Commercial associate,11,Business Entity Type 3
100355,0,315000,946503,42898.5,846000,Working,10,Business Entity Type 2
100356,0,180000,188685,14944.5,157500,Working,3,Business Entity Type 3
100357,0,225000,180000,9000,180000,Commercial associate,16,Business Entity Type 3
100359,0,112500,226908,11164.5,148500,Working,9,Business Entity Type 3
100360,0,67500,202500,10125,202500,Commercial associate,8,Housing
100361,0,270000,1800000,62698.5,1800000,Working,11,Trade: type 7
100362,0,157500,807984,26833.5,697500,Commercial associate,16,Business Entity Type 2
100363,0,360000,493497,48942,454500,Commercial associate,11,Bank
100364,0,315000,1024290,30078,855000,Working,16,Industry: type 11
100365,0,247500,517788,19647,427500,Pensioner,4,XNA
100366,0,765000,1350000,67500,1350000,Commercial associate,7,Business Entity Type 3
100368,0,166500,675000,24246,675000,Working,10,Business Entity Type 3
100369,0,157500,528633,22527,472500,Commercial associate,16,Self-employed
100370,0,45000,448056,16222.5,315000,Pensioner,12,XNA
100371,0,450000,808650,31464,675000,Commercial associate,13,Kindergarten
100372,0,90000,531000,29781,531000,Pensioner,11,XNA
100373,0,225000,906228,46269,810000,State servant,12,School
100374,0,112500,1308964.5,42354,1143000,Working,6,Transport: type 2
100375,0,180000,942300,30528,675000,Commercial associate,7,Transport: type 1
100376,0,360000,254700,20250,225000,Working,10,Transport: type 3
100377,0,157500,239850,25447.5,225000,Working,10,Business Entity Type 3
100378,0,247500,808650,26217,675000,Working,12,Self-employed
100379,0,112500,942300,30528,675000,Working,11,Agriculture
100380,0,630000,900000,57519,900000,Working,13,Business Entity Type 3
100381,0,121500,302544,11533.5,198000,Commercial associate,8,Business Entity Type 3
100383,0,180000,640080,20929.5,450000,Working,15,Business Entity Type 3
100387,0,292500,1095817.5,43587,1008000,Commercial associate,14,Industry: type 3
100388,0,99000,518562,20695.5,463500,Working,16,Housing
100389,0,247500,1971072,68643,1800000,Working,14,Self-employed
100390,0,90000,555273,14778,463500,State servant,14,Transport: type 4
100391,0,153000,808650,26217,675000,Working,10,Other
100392,0,180000,180000,9000,180000,Working,7,Business Entity Type 3
100393,0,405000,2250000,59485.5,2250000,Working,13,Police
100394,0,112500,178290,11034,157500,Pensioner,14,XNA
100395,0,225000,888840,32053.5,675000,Commercial associate,17,Business Entity Type 2
100396,1,112500,417024,25330.5,360000,Pensioner,10,XNA
100397,0,144000,1417185,37512,1237500,State servant,9,Medicine
100398,0,81000,180000,8658,180000,Working,14,Police
100400,0,270000,536917.5,28467,463500,Pensioner,11,XNA
100401,1,202500,343683,16663.5,261000,Pensioner,10,XNA
100402,0,81000,276277.5,21825,238500,Pensioner,15,XNA
100403,0,315000,1350000,39604.5,1350000,Working,14,Business Entity Type 3
100405,0,180000,450000,22018.5,450000,Working,10,Police
100406,0,135000,468648,34101,414000,Pensioner,8,XNA
100407,0,157500,521280,26743.5,450000,Working,13,Government
100408,0,81000,454500,29173.5,454500,Commercial associate,10,Business Entity Type 3
100409,0,112500,454500,23337,454500,Commercial associate,17,Industry: type 3
100410,0,180000,1258650,56277,1125000,Working,17,Business Entity Type 3
100411,0,450000,1035832.5,33412.5,904500,Working,15,Self-employed
100412,0,135000,318528,25294.5,252000,Working,16,Medicine
100413,0,90000,90000,9351,90000,Pensioner,12,XNA
100414,0,112500,533304,27360,405000,Working,10,Self-employed
100415,0,112500,792162,38241,630000,Working,5,Self-employed
100417,0,180000,755190,36459,675000,Working,11,Hotel
100418,0,135000,521280,31500,450000,Working,17,Government
100419,0,112500,454500,13419,454500,Pensioner,9,XNA
100420,0,54000,91692,9198,81000,Working,15,Business Entity Type 2
100421,0,450000,900000,32017.5,900000,Commercial associate,11,Business Entity Type 3
100423,0,472500,1327648.5,42957,1039500,Working,16,Self-employed
100424,1,112500,117162,12433.5,103500,Working,11,Other
100425,0,90000,688500,20259,688500,Working,8,Kindergarten
100427,0,67500,450000,30442.5,450000,Working,19,Postal
100428,0,90000,1224990,35946,877500,Working,6,Self-employed
100429,0,180000,629325,26793,562500,Working,12,Government
100430,0,90000,157914,17136,139500,Working,13,Other
100431,0,157500,1724220,47542.5,1350000,Working,13,Business Entity Type 3
100432,0,90000,495000,25272,495000,Working,20,Government
100433,0,157500,472500,45454.5,454500,Working,11,Self-employed
100434,0,202500,280170,30303,247500,State servant,18,Other
100435,0,112500,450000,16294.5,450000,Commercial associate,10,Industry: type 9
100436,0,112500,405000,20250,405000,Commercial associate,11,Business Entity Type 3
100437,0,67500,817560,30951,675000,Pensioner,13,XNA
100439,1,81000,312840,22891.5,247500,Working,17,Industry: type 9
100440,0,40500,127350,7438.5,112500,Pensioner,11,XNA
100441,0,135000,269550,11416.5,225000,Pensioner,16,XNA
100442,0,148500,805536,32076,720000,State servant,16,Medicine
100443,0,144000,456273,23296.5,346500,Pensioner,10,XNA
100448,0,202500,598486.5,25290,454500,Working,12,Business Entity Type 3
100449,0,157500,942300,27679.5,675000,Working,9,Business Entity Type 1
100451,0,144000,446931,16978.5,369000,Commercial associate,13,Business Entity Type 2
100452,1,171000,1009566,36391.5,904500,Working,8,Business Entity Type 3
100453,0,247500,521280,27423,450000,Working,17,Business Entity Type 3
100454,0,607500,1350000,67500,1350000,Commercial associate,10,Other
100455,0,135000,830214,24273,693000,Working,12,Transport: type 2
100456,0,211500,545040,26640,450000,Working,12,Other
100457,0,211500,270000,13500,270000,Working,12,Trade: type 2
100458,0,90000,808650,26217,675000,Pensioner,8,XNA
100459,0,270000,225000,11250,225000,Commercial associate,10,Business Entity Type 3
100460,0,315000,540000,27000,540000,Commercial associate,13,Business Entity Type 3
100461,0,252000,288873,16713,238500,Working,10,School
100462,0,111919.5,152820,7911,135000,Commercial associate,11,Business Entity Type 2
100463,0,112500,263686.5,15268.5,238500,Pensioner,17,XNA
100464,0,112500,345510,17640,247500,Working,15,Self-employed
100465,0,135000,545040,20677.5,450000,Working,10,Business Entity Type 2
100467,0,81000,225000,13284,225000,Working,13,Trade: type 3
100468,0,112500,900000,23872.5,900000,Pensioner,8,XNA
100469,0,450000,1350000,67500,1350000,Commercial associate,4,Transport: type 4
100470,0,225000,1345500,39469.5,1345500,Commercial associate,14,Business Entity Type 2
100471,0,112500,697500,35743.5,697500,Working,16,Services
100472,1,135000,545040,26509.5,450000,Working,15,Self-employed
100473,0,405000,1483231.5,51687,1354500,Commercial associate,12,Business Entity Type 3
100474,0,450000,900000,45000,900000,Commercial associate,14,Electricity
100475,0,405000,495000,24750,495000,Commercial associate,17,Self-employed
100476,0,225000,509922,31324.5,472500,Working,10,Other
100477,1,112500,284400,22599,225000,Working,8,Business Entity Type 3
100478,0,90000,393543,20223,328500,Working,14,Business Entity Type 3
100479,0,90000,180000,9000,180000,Working,7,Business Entity Type 3
100480,0,450000,473760,50269.5,450000,Commercial associate,16,Business Entity Type 3
100481,0,180000,540000,27000,540000,Working,12,Business Entity Type 3
100482,0,112500,445500,16924.5,445500,Commercial associate,8,Medicine
100485,1,270000,810000,40500,810000,Working,9,Security
100486,0,58500,172021.5,12991.5,148500,Pensioner,9,XNA
100487,0,121500,630747,22783.5,544500,Pensioner,13,XNA
100488,0,270000,364896,24075,315000,Commercial associate,10,Other
100489,0,90000,238500,25816.5,238500,Working,14,Business Entity Type 2
100490,1,135000,755190,38686.5,675000,Working,11,Security
100491,0,193500,314100,17167.5,225000,Working,8,Self-employed
100492,0,450000,716161.5,57550.5,634500,State servant,5,University
100493,0,270000,1288350,41692.5,1125000,Working,11,Self-employed
100495,0,112500,832500,29623.5,832500,Working,10,Medicine
100496,0,450000,1125000,33025.5,1125000,Working,14,Business Entity Type 3
100497,0,135000,180000,9000,180000,Commercial associate,17,Business Entity Type 2
100498,0,112500,485190,24903,405000,Working,6,Business Entity Type 3
100499,0,225000,678996,36963,540000,Working,10,Business Entity Type 3
100500,0,202500,840951,35631,679500,Commercial associate,9,Business Entity Type 3
100501,0,247500,1125000,29808,1125000,Working,10,Electricity
100502,0,202500,485640,41674.5,450000,Commercial associate,12,Kindergarten
100503,0,189000,876019.5,34870.5,783000,Pensioner,13,XNA
100504,0,157500,187704,12672,148500,Commercial associate,8,Business Entity Type 3
100505,0,225000,675000,24799.5,675000,Working,13,Transport: type 1
